ID,ACCOUNTID,LASTNAME,FIRSTNAME,SALUTATION,NAME,MAILINGSTREET,MAILINGCITY,MAILINGSTATE,MAILINGPOSTALCODE,MAILINGCOUNTRY,PHONE,MOBILEPHONE,OTHERPHONE,ASSISTANTPHONE,EMAIL,TITLE,DEPARTMENT
0031N00001KECLWQA5,0011N00001CTXpEQAX,Hesse,Rosalind,Ms,Rosalind Hesse,Fulton,Tampa,Florida,33620,United States,813-425-8395,,312-138-1952,803-125-9962,rhesse0@goodreads.com,"VP, Facilities",
0031N00001KECLXQA5,0011N00001CTXpFQAX,Willmore,Reinhard,Dr,Reinhard Willmore,Welch,San Diego,California,92105,United States,619-717-3894,,904-474-2344,916-405-2537,rwillmore1@cmu.edu,,
0031N00001KECLYQA5,0011N00001CTXpGQAX,Wattins,Skell,Dr,Skell Wattins,Raven,Gary,Indiana,46406,United States,219-946-8236,(650) 867-7686,646-819-6039,808-701-3954,swattins2@imageshack.us,"VP, Technology",Technology
0031N00001KECLZQA5,0011N00001CTXpHQAX,Wivell,Kristofer,Dr,Kristofer Wivell,Emmet,Phoenix,Arizona,85035,United States,602-947-6789,(312) 596-1563,410-117-0825,205-156-1494,kwivell3@princeton.edu,"VP, Facilities",Facilities
0031N00001KECLaQAP,0011N00001CTXpIQAX,Turban,Fitzgerald,Dr,Fitzgerald Turban,Columbus,Miami,Florida,33147,United States,305-386-7333,(312) 596-1230,763-663-9754,347-697-1951,fturban4@eventbrite.com,"SVP, Administration and Finance",Finance
0031N00001KECLbQAP,0011N00001CTXpJQAX,O'Tuohy,Lulita,Honorable,Lulita O'Tuohy,Melrose,Asheville,North Carolina,28815,United States,828-996-9372,(512) 757-4561,805-479-2564,304-418-0689,lotuohy5@newsvine.com,CFO,Finance
0031N00001KECLcQAP,0011N00001CTXpLQAX,Peniman,Rori,Rev,Rori Peniman,Morning,Asheville,North Carolina,28805,United States,828-185-4628,(520) 773-4539,202-351-6081,412-280-0948,rpeniman6@ezinearticles.com,Dean of Administration,Administration
0031N00001KECLdQAP,0011N00001CTXpNQAX,Kiln,Rhetta,Dr,Rhetta Kiln,Beilfuss,Allentown,Pennsylvania,18105,United States,610-702-2157,(650) 345-6637,210-917-0565,480-401-4634,rkiln7@ca.gov,"VP, Production",Production
0031N00001KECLeQAP,0011N00001CTXpNQAX,Withers,Stephen,Honorable,Stephen Withers,Pond,Corona,California,92878,United States,951-634-2305,(212) 842-5611,208-430-6146,323-787-8860,swithers8@icq.com,"SVP, Technology",Technology
0031N00001KECLfQAP,0011N00001CTXpNQAX,Reiling,Eduino,Mr,Eduino Reiling,Aberg,Mobile,Alabama,36610,United States,251-341-8150,(650) 345-7636,650-635-2656,513-199-0567,ereiling9@usgs.gov,Regional General Manager,Executive Team
0031N00001KECLgQAP,0011N00001CTXpQQAX,Gasticke,Denny,Dr,Denny Gasticke,Hermina,Kansas City,Missouri,64101,United States,816-525-2519,191-345-6234,916-360-3726,810-880-2381,dgastickea@nydailynews.com,"VP, Finance",Finance
0031N00001KECLhQAP,0011N00001CTXpRQAX,Eyer,Deva,Dr,Deva Eyer,Calypso,Fort Wayne,Indiana,46805,United States,260-136-5908,,415-370-8591,937-331-0537,deyerb@admin.ch,,
0031N00001KECLiQAP,0011N00001CTXpSQAX,Nendick,Sarah,Dr,Sarah Nendick,Rusk,Evansville,Indiana,47732,United States,812-476-7484,(503) 421-4387,469-867-1119,310-925-6235,snendickc@homestead.com,"Director, Warehouse Mgmt",Warehouse Mgmt
0031N00001KECLjQAP,0011N00001CTXpTQAX,Gery,Mortimer,Rev,Mortimer Gery,Daystar,Tuscaloosa,Alabama,35487,United States,205-534-1713,(212) 842-5501,805-949-0302,512-914-4988,mgeryd@e-recht24.de,"SVP, Production",Production
0031N00001KECLkQAP,0011N00001CTXpUQAX,Duncklee,Colly,Mr,Colly Duncklee,Superior,Meridian,Mississippi,39305,United States,601-659-7332,(512) 757-9340,706-430-3067,727-999-6608,cdunckleee@spotify.com,"SVP, Procurement",Procurement
0031N00001KECLlQAP,0011N00001CTXpVQAX,Eriksson,Barclay,Mrs,Barclay Eriksson,Boyd,Evansville,Indiana,47732,United States,812-237-1729,(014) 454-6364,410-125-7857,305-154-2318,berikssonf@squarespace.com,"SVP, Administration and Finance",Finance
0031N00001KECLmQAP,,Hadland,Bondon,Ms,Bondon Hadland,Dayton,Memphis,Tennessee,38126,United States,901-892-2479,(212) 842-4535,404-259-9711,205-552-5682,bhadlandg@sourceforge.net,CEO,Executive Team
0031N00001KECLnQAP,0011N00001CTXpOQAX,Cracknell,Thorpe,Ms,Thorpe Cracknell,Emmet,Dallas,Texas,75231,United States,469-419-7530,(785) 265-5350,513-324-8573,806-406-5057,tcracknellh@seesaa.net,"SVP, Operations",Internal Operations
0031N00001KECLoQAP,0011N00001CTXpOQAX,Jedryka,Eleonora,Mrs,Eleonora Jedryka,Red Cloud,Reno,Nevada,89510,United States,775-267-3303,(503) 421-5451,909-587-3582,571-561-9095,ejedrykai@goo.ne.jp,"SVP, Operations",Operations
0031N00001KECLpQAP,0011N00001CTXpGQAX,Duncklee,Colly,Mr,Colly Duncklee,Superior,Meridian,Mississippi,39305,United States,601-659-7332,(512) 757-9340,706-430-3067,727-999-6608,cdunckleee@spotify.com,"SVP, Procurement",Procurement
